,index,star_end_address,Monday_avg,Tuesday_avg,Wednesday_avg,Thursday_avg,Friday_avg,Saturday_avg,Sunday_avg,Monday_q1,Tuesday_q1,Wednesday_q1,Thursday_q1,Friday_q1,Saturday_q1,Sunday_q1,Monday_q3,Tuesday_q3,Wednesday_q3,Thursday_q3,Friday_q3,Saturday_q3,Sunday_q3
36,36,Famous Studio   Mahalaxmi station  ,7.074942085,7.388670772,7.619719408,7.649161342,7.889706268,6.783846154,6.150605826,5.033333333,5.033333333,5.016666667,4.983333333,4.983333333,4.916666667,4.65,8.1,8.575,8.575,8.666666667,9.125,7.9,7.033333333
37,37,Fortis Hospital   Eastern Express Highway  ,11.47552808,11.49215988,11.46513857,11.22486709,11.11620951,11.37474981,10.62333076,8.433333333,8.433333333,8.45,8.366666667,8.316666667,8.466666667,8.45,12.29583333,12.16666667,12.28333333,12.18333333,11.92083334,11.93333333,10.43333333
38,38,Globosport India   Pali Naka Road  ,3.29611925,3.308660005,3.309809229,3.369085593,3.416758314,3.55866718,3.015514116,2.616666667,2.65,2.583333333,2.666666667,2.633333333,2.683333333,2.7,3.8,3.833333333,3.9,3.9,4,4.266666667,3.25
39,39,Goregaon East Station Road   Aarey Check Naka  ,7.169782051,7.594704528,7.322002072,7.308139845,7.581204284,7.236443932,6.305156893,5.016666667,4.933333333,4.733333333,4.816666667,4.883333333,4.95,5.066666667,8.904166667,9.55,9.408333334,9.266666667,9.5375,9.066666667,7.383333333
40,40,Goregaon Hub Mall   Borivli National Park Gate  ,27.97633205,28.42142492,29.09510644,30.71122178,31.3220266,30.47830261,24.62171952,17.90833334,18.31666667,18.0625,18.53333334,18.58333333,18.16666667,17.38333333,35.48333333,35.71666667,37.25833333,39.39166667,40.675,39.80833333,31.55
41,41,Goregoan Check Naka   Aarey Road  ,14.27366667,14.82657969,14.51642081,15.79246191,15.59411381,14.00773169,12.522574,10.76666667,10.61666667,10.42916667,11.16666667,10.96666667,10.35,9.766666667,16.21666667,16.45,16.4375,18.13333333,18,15.26666667,14.29166667
42,42,Grand Sarovar Premiere   Veer Savarkar flyover  ,3.050398048,2.957455803,3.135342607,3.12062417,3.422305076,3.472935897,2.87492284,0.666666667,0.666666667,0.65,0.683333333,0.666666667,0.683333333,0.65,5.595833333,5.35,6.166666667,5.633333333,6.35,6.45,5.229166667
43,43,Haji Ali    Central  ,15.5701248,15.71745234,15.49817872,16.36969821,15.94860999,15.26966979,13.96220472,10.80833333,11.21666667,10.77916667,10.9875,11.14166666,10.52083333,10.00416667,18.8625,19.6,19.22083333,20.34166667,19.35833333,18.9625,18.23333333
44,44,High Street Phoenix Mall   Dr E Moses Junction  ,nan,8.745454546,8.516666667,5.661111111,7.4,12.67361111,13.82333333,nan,8,7.741666667,3.829166667,4.9,7.933333333,13.08333333,nan,10.075,9.458333332,7.4,9.9,16.72916667,16.55
45,45,Hotel Blue Diamond Navi   Shivaji Chowk Vashi Navi  ,7.131161655,7.13892738,7.097397047,7.136086725,7.15,7.214599384,6.843890178,5.866666667,5.866666667,5.866666667,5.916666667,5.895833333,5.866666667,5.866666667,8.066666667,8.033333333,7.983333333,8.033333333,8.05,8.233333333,7.566666667
46,46,Indian Oil Petrol Pump & CNG Vikhroli   Ashok Silk Mills  ,4.42820118,4.566820513,4.384532096,4.45761563,4.742769512,5.307238022,5.167566872,3.141666667,3.1,3.083333333,3.0875,3.083333333,3.083333333,3.1,4.983333333,5.2875,5.133333333,5.145833333,5.583333333,6.316666667,5.791666666
